search_name,full_name,region_id
경상남도 거제시 삼거동,경상남도 거제시 삼거동,4852
경상남도 거제시 아양동,경상남도 거제시 아양동,4855
경상남도 거제시 장목면,경상남도 거제시 장목면,3649
경상남도 거제시 외포리,경상남도 거제시 외포리,3649
경상남도 거제시 유호리,경상남도 거제시 유호리,3649
경상남도 거제시 대곡리,경상남도 거제시 대곡리,3647
경상남도 거제시 유계리,경상남도 거제시 유계리,3647
경상남도 거제시 사등면,경상남도 거제시 사등면,3644
경상남도 거제시 덕호리,경상남도 거제시 덕호리,3644
경상남도 거제시 사곡리,경상남도 거제시 사곡리,3644
경상남도 거제시 둔덕면,경상남도 거제시 둔덕면,3643
경상남도 거제시 거제면,경상남도 거제시 거제면,3642
경상남도 거제시 남부면,경상남도 거제시 남부면,3641
경상남도 거제시 율포리,경상남도 거제시 율포리,3640
경상남도 거제시 옥림리,경상남도 거제시 옥림리,3639
경상남도 거제시 구조라리,경상남도 거제시 구조라리,3639
경상남도 밀양시 활성동,경상남도 밀양시 활성동,4891
경상남도 밀양시 교동,경상남도 밀양시 교동,3637
경상남도 밀양시 청도면,경상남도 밀양시 청도면,3632
경상남도 밀양시 무안면,경상남도 밀양시 무안면,3631
경상남도 밀양시 고라리,경상남도 밀양시 고라리,3631
경상남도 밀양시 운정리,경상남도 밀양시 운정리,3631
경상남도 밀양시 덕산리,경상남도 밀양시 덕산리,3630
경상남도 밀양시 상남면,경상남도 밀양시 상남면,3629
경상남도 밀양시 외산리,경상남도 밀양시 외산리,3629
경상남도 밀양시 단장면,경상남도 밀양시 단장면,3628
경상남도 밀양시 구천리,경상남도 밀양시 구천리,3628
경상남도 밀양시 고례리,경상남도 밀양시 고례리,3628
경상남도 밀양시 감물리,경상남도 밀양시 감물리,3628
경상남도 밀양시 산내면,경상남도 밀양시 산내면,3627
경상남도 밀양시 삼양리,경상남도 밀양시 삼양리,3627
경상남도 밀양시 엄광리,경상남도 밀양시 엄광리,3626
경상남도 밀양시 매화리,경상남도 밀양시 매화리,3625
경상남도 밀양시 옥산리,경상남도 밀양시 옥산리,3625
경상남도 밀양시 하남읍,경상남도 밀양시 하남읍,3623
경상남도 밀양시 검세리,경상남도 밀양시 검세리,3621
경상남도 김해시 수가동,경상남도 김해시 수가동,4874
경상남도 김해시 율하동,경상남도 김해시 율하동,4880
경상남도 김해시 부곡동,경상남도 김해시 부곡동,4868
경상남도 김해시 지내동,경상남도 김해시 지내동,4885
경상남도 김해시 전하동,경상남도 김해시 전하동,4884
경상남도 김해시 삼계동,경상남도 김해시 삼계동,4869
경상남도 김해시 대동면,경상남도 김해시 대동면,3606
경상남도 김해시 상동면,경상남도 김해시 상동면,3605
경상남도 김해시 생림면,경상남도 김해시 생림면,3604
경상남도 김해시 가산리,경상남도 김해시 가산리,3603
경상남도 김해시 병동리,경상남도 김해시 병동리,3603
경상남도 김해시 진례면,경상남도 김해시 진례면,3602
경상남도 김해시 좌곤리,경상남도 김해시 좌곤리,3600
경상남도 사천시 죽림동,경상남도 사천시 죽림동,4915
경상남도 사천시 서포면,경상남도 사천시 서포면,3590
경상남도 사천시 연평리,경상남도 사천시 연평리,3589
경상남도 사천시 성방리,경상남도 사천시 성방리,3589
경상남도 사천시 중항리,경상남도 사천시 중항리,3588
