region_id,full_name,search_name,위도,경도
403,서울특별시 강남구 수서동,수서동,37.4889181,127.104929
2363,충청남도 서산시 수석동,수석동,36.771367,126.467213
4473,경기도 남양주시 수석동,수석동,37.58824,127.171088
774,대구광역시 수성구 수성1가동,수성1가동,35.8552321,128.6103112
775,대구광역시 수성구 수성2.3가동,수성2.3가동,35.8547729,128.6190324
776,대구광역시 수성구 수성4가동,수성4가동,35.862665,128.616638
4973,경상남도 창원시 마산합포구 수성동,수성동,35.20469485,128.5738492
2585,전라북도 정읍시 수성동,수성동,35.56954313,126.8503979
2601,전라북도 정읍시 수성동,수성동,35.56954313,126.8503979
5667,대구광역시 수성구 수성동1가,수성동1가,35.855,128.611
5668,대구광역시 수성구 수성동2가,수성동2가,35.8548321,128.6151
5669,대구광역시 수성구 수성동3가,수성동3가,35.8548528,128.618988
5670,대구광역시 수성구 수성동4가,수성동4가,35.8635904,128.615825
5092,경상남도 창원시 진해구 수송동,수송동,35.15218079,128.6560885
2526,전라북도 군산시 수송동,수송동,35.96480597,126.7177415
2548,전라북도 군산시 수송동,수송동,35.96480597,126.7177415
6290,서울특별시 종로구 수송동,수송동,37.5737,126.9806
2269,충청남도 천안시 동남구 수신면,수신면,36.73113113,127.280963
5908,부산광역시 동래구 수안동,수안동,35.1989,129.0844
2144,충청북도 충주시 수안보면,수안보면,36.8472328,127.9948187
1206,울산광역시 남구 수암동,수암동,35.5244132,129.3184728
4598,경기도 안산시 상록구 수암동,수암동,37.36792514,126.8840293
3660,경상남도 거제시 수양동,수양동,34.887941,128.6462865
648,부산광역시 수영구 수영동,수영동,35.1705075,129.1160188
1086,광주광역시 광산구 수완동,수완동,35.1970266,126.8255539
4854,경상남도 거제시 수월동,수월동,34.8894015,128.6603078
149,서울특별시 강북구 수유1동,수유1동,37.6300865,127.0176014
150,서울특별시 강북구 수유2동,수유2동,37.6447027,127.0198777
151,서울특별시 강북구 수유3동,수유3동,37.638715,127.023125
6046,서울특별시 강북구 수유동,수유동,37.6300865,127.0176014
7210,충청북도 청주시 흥덕구 수의동,수의동,36.61229914,127.3904015
5203,경상북도 구미시 수점동,수점동,36.1129,128.2842
6729,전라남도 여수시 수정동,수정동,34.7434382,127.7539979
5902,부산광역시 동구 수정동,수정동,35.1253992,129.0422759
4945,경상남도 진주시 수정동,수정동,35.1978,128.0856
481,부산광역시 동구 수정제1동,수정제1동,35.1253992,129.0422759
482,부산광역시 동구 수정제2동,수정제2동,35.129981,129.0426005
483,부산광역시 동구 수정제4동,수정제4동,35.1271201,129.0407048
484,부산광역시 동구 수정제5동,수정제5동,35.1338683,129.0423934
2612,전라북도 남원시 수지면,수지면,35.33930527,127.3715237
1313,경기도 성남시 수정구 수진1동,수진1동,37.43856552,127.139009
1314,경기도 성남시 수정구 수진2동,수진2동,37.43729415,127.1287015
4513,경기도 성남시 수정구 수진동,수진동,37.43857631,127.1390271
5718,대구광역시 중구 수창동,수창동,35.8752654,128.5847375
7052,충청남도 당진시 수청동,수청동,36.8904215,126.651987
4697,경기도 오산시 수청동,수청동,37.1683,127.0646
1584,경기도 구리시 수택1동,수택1동,37.5964348,127.1491819
1585,경기도 구리시 수택2동,수택2동,37.593193,127.1400424
1586,경기도 구리시 수택3동,수택3동,37.5915435,127.1389288
4455,경기도 구리시 수택동,수택동,37.5964348,127.1491819
6363,서울특별시 중구 수표동,수표동,37.5671417,126.9890375
5303,경상북도 안동시 수하동,수하동,36.5459,128.6816
6364,서울특별시 중구 수하동,수하동,37.5672663,126.9846085
2192,충청북도 보은군 수한면,수한면,36.4793564,127.6986949
5605,대구광역시 동구 숙천동,숙천동,35.8806,128.75
6803,전라북도 김제시 순동,순동,35.81637529,126.9186919
2394,충청남도 당진시 순성면,순성면,36.8453821,126.7144219
2707,전라북도 순창군 순창읍,순창읍,35.37693594,127.1470315
